WO_CHECKED_IN_DT_KEY,WO_ENTERED_DT_KEY,SCHEDULE_INSTALL_DT_KEY,CUSTOMER_KEY,SITE_ID,SITE_DESC,ACCOUNT_NBR,WO_NBR,PRODUCT_CD,PRODUCT_DESC,PRODUCT_LINE_DESC,PRODUCT_GROUP_CD,PRODUCT_GROUP_DESC,WO_TYPE_CD,WO_TYPE_DESC,OUTLET_TYPE,OFFICE_ONLY_FLAG,Q_CD,Q_CD_DESC,SALES_CHANNEL_GROUP_DESC,WO_OCCURRENCE_NBR,FROM_QTY,TO_QTY,NET_QTY,POINTS_COMPLETED,CONNECTS,DISCONNECTS,SELF_INSTALL,ASSISTED_SELF_INSTALLS,ASSIGNED_INSTALLER_NBR,SALESMAN_NBR,USER_ID,REQUIRED_POINTSTOCABLE_SVC,REQUIRED_TOTAL_POINTS,TOTAL_POINTS_COMPLETED,WO_JOB_NBR,SERVICE_TYPE,CATEGORY,SERVICE_CATEGORY_CD,CHECK_IN_USER_ID,SERVICE_POINTS,DROP_POINTS,HOUSE_PRE_WIRE_POINTS,DROP_REPLACE_POINTS,HOUSE_DWELLING_POINTS,SIGNAL_ACCESS_POINTS,TIME_ASSIGNED_HH_MM,TIME_SLOT_DESC,ARRIVAL_TIME,SYSTEM_COMPLETION_TM,Advanced Bulk HD Receiver,Aerial Install Drop New,Business TV Activate Outlet(wired),Business TV Bulk Specialty Install,Business TV Equipment Pick Up,Commercial Install Trap,Commercial Serviceability Visit,Commercial Shipping & Handling,Conduit Installation,Construction Costs,Direct Connect IR Cable,Prework,Prism IR Extender,RG11 Install Drop (All),Standard IR Extender,Video Bulk Specialty Staging,VoD Retransmission,Wall Fish,Bulk HD medical Remote Ctrl Integ,Business TV Contour Install No Net,Business TV Expedite Installation,Business TV Install/Add Outlet(Unwired),Business Vid Account Changes,CLI Leakage Order,COX BUSINESS BUNDLE,Digital Adapter Mounting Bracket,Digital Adapter RF Interface,INSTALL DROP (COMMERCIAL),Proactive Receiver Swap,Replacement Digital Adapter IR Rmt,Video Time & Materials - Standard,vuCaster Config Adv HD Receiver,Aerial Install Drop Rebuild,Bulk HD Medical PSI Config,Business TV Contour Install Net,Business TV Dig Self-Install Kit,Business TV Install Outlet(New),Business TV Receiver Install,Business TV Reinstate Service,Business Vid Install (Aerial),CB Showtime Additional Outlet,CB Starz Additional Outlet,Comm Outside only request,Commercial Tech Assist,Digital Starter,Fiber Conversion,Underground Install Drop New,Video Bulk Specialty Pre-Install,Advanced Bulk HD Install,Advanced Bulk HD Receiver Installation,Bulk HD Medical Interface,Business TV Equipment Self Activation,Business TV Rework/Relocate Install,CBS Service Deposit,Chargeable Service Call,CONTOUR Failed Self Install,DTA Failed Self Install,Interior Molding,Underground Install Drop Rebuild
20180629,20180627,20180629,107513812,182,Greater Louisiana,79624405,361388090,27101,Cox Business TV Starter,Business TV - Retail Outlets,1100,Business TV - Retail,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,21162,20787,ADIXON,3,51,51,5, ,H,C,ETSCSWAP,43,0,0,0,3,2,630,8-10A,839,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180606,20180605,20180606,107368933,333,Orange County,60429101,44406082,20501,Cox Business E-Mail 5 Mailboxes- 2GB ea,CBI Feature - Email,2110,Managed Services,IN,Install,P,N,W,Cb Installs,Cox Business,2,0,1,1,0,1,0,0,0,99587,31107,JSTAGNAR,3,62,62,10, ,X,D,COXTASUSER,54,0,0,0,3,2,645,3-5P,1449,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180607,20180606,20180607,107372281,333,Orange County,60428501,44409813,42201,Cox Online Backup 25 GB,CBI Feature - Cox Online Backup,2110,Managed Services,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,70313,37348,JWHEATLEY,3,77,77,1, ,X,D,B26040,69,0,0,0,3,2,431,8-10A,810,2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180628,20180628,20180628,107483843,182,Greater Louisiana,90991801,361396074,80014,Conduit Installation,OTC - All,1104,Business TV - All,SR,Sro,P,N,W,Cb Installs,Unknown,1,0,7,7,2,1,0,0,0,51238,0,TALEXAND,3,33,33,16,S,S,C,ETSCSWAP,28,0,0,0,1,1,1144,Not Available,1212,1328,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180606,20180606,20180606,11118373,333,Orange County,14276901,44413645,80012,Wall Fish,OTC - All,1104,Business TV - All,SR,Sro,P,N,W,Cb Installs,Field,1,0,2,2,6,1,0,0,0,70313,51048,B18084,3,17,17,6,S,S,C,COXTASUSER,12,0,0,0,1,1,1531,ALLDAY,1545,1546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180625,20180608,20180625,107391013,333,Orange County,60436801,44425732,BWIREPL,COX COMM SERVICE ASSURANCE PLAN,Service Fee - PLN,5116,Voice Service Fee,IN,Install,A,N,R,Cb Hicap,Cox Business,6,0,1,1,0,1,0,0,0,84224,31016,MSUAREZ,3,55,55,6, ,X,T,ETSCSWAP,47,0,0,0,3,2,659,1-3P,1443,1703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180614,20180608,20180614,107391428,333,Orange County,49348605,44426107,42208,Cox Security Suite 25 PC,CBI Feature - Cox Security Suite,2110,Managed Services,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,17527,19945,ASWILLIA,3,34,34,6, ,X,D,ETSCSWAP,26,0,0,0,3,2,1157,CMRCL,1159,1315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180611,20180627,107406188,333,Orange County,60438301,44438426,HXSCA35,IP Centrex Shared Line 35,Feature - IPC Broadsoft,5108,Business IP Centrex,IN,Install,A,N,R,Cb Hicap,Cox Business,7,0,1,1,0,1,0,0,0,84219,17829,MIROBERT,3,55,55,1, ,X,T,ETSCSWAP,47,0,0,0,3,2,0,1-3P,1332,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180627,20180611,20180627,107406188,333,Orange County,60438301,44438426,HUM,VoiceManager Unified Messaging,Feature - BVM Broadsoft,5115,Business VoiceManager Service,IN,Install,P,N,R,Cb Hicap,Cox Business,2,0,1,1,0,1,0,0,0,84219,17829,MIROBERT,3,55,55,1, ,X,T,ETSCSWAP,47,0,0,0,3,2,0,1-3P,1332,1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20180615,20180613,20180615,107426556,333,Orange County,44559004,44454380,29800,CBI Modem,CBI Equipment,2104,Cox Business Internet,IN,Install,P,N,W,Cb Installs,Cox Business,1,0,1,1,0,1,0,0,0,63398,22395,PCOURTNE,3,52,52,7, ,X,D,ETSCSWAP,44,0,0,0,3,2,659,1-3P,1320,1737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
