,Customer Facing Flag,DCV Ind,DTV Ind,Drive Time Points,Dwelling Type,Employee Type Code,HC Equipment Passed,HC Equipment,Job Type,Labor Type,Points,Q Code,Region,Service Call Ind,Site,Survey Response Value,Truck Roll Ind,Verified Vendor,Work Order Class,Work Order Type,New Time
352,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,172.0
362,N,0,0,3,Non-Residential,5I,0,0,Install,In House,74,I,California,0,San Diego,,1,N,*,Install,257.00000000000006
455,N,0,0,3,Non-Residential,5I,1,1,Install,In House,61,I,Central Region,0,Oklahoma City,,1,N,H,Install,258.00000000000006
470,N,0,0,2,Non-Residential,5I,0,0,Install,In House,41,I,Central Region,0,Oklahoma City,,1,N,*,Install,110.0
519,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,11,I,California,0,San Diego,,1,N,H,Sro,13.0
608,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,349.0
629,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,213.0
644,N,0,0,2,Non-Residential,5I,1,1,Install,In House,65,I,Southeast Region,0,Pensacola,,1,N,*,Install,320.0
714,N,0,0,2,Non-Residential,5I,0,0,SRO,In House,26,I,Southeast Region,0,Pensacola,,1,N,H,Sro,86.0
716,N,0,0,2,Non-Residential,5I,1,1,Install,In House,61,I,Southeast Region,0,Pensacola,,1,N,H,Install,321.0
1079,N,0,0,2,Non-Residential,5I,2,2,Install,In House,53,I,Northeast Region,0,Connecticut,,1,N,*,Install,276.0
1185,Y,0,0,3,Non-Residential,5I,4,4,Trouble Call,In House,16,K,Central Region,1,Omaha/Sun Valley,,1,N,H,Trouble Call,236.0
1354,N,0,0,3,Non-Residential,5I,0,0,Install,In House,60,I,California,0,San Diego,,1,N,H,Install,280.0
1363,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,23,I,California,0,San Diego,,1,N,H,Sro,131.00000000000003
1380,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,55,I,California,0,San Diego,,0,N,H,Sro,1.0000000000000002
1411,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,25,I,California,0,San Diego,,1,N,H,Sro,14.0
1475,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,27,I,California,0,San Diego,,1,N,*,Sro,162.0
1489,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,17,I,California,0,San Diego,,1,N,H,Sro,32.00000000000001
1506,N,0,0,3,Non-Residential,5I,0,0,SRO,In House,19,I,California,0,San Diego,,1,N,H,Sro,74.0
